time,A01,A02,A03,A04,A05,A06,A07,A08,A09,B01,B02,B03,B04,B05,B06,B07,B08,B09
2022-01-21 09:05:31.648,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-21 22:16:19.462,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-01-21 22:16:36.762,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-24 12:12:44.176,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-01-24 12:12:53.578,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-24 12:12:55.658,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-31 16:58:17.017,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-01-31 16:58:22.217,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-01-31 16:58:28.776,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 06:17:34.073,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 06:17:54.433,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 07:03:27.901,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 07:03:49.224,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 08:43:34.700,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 08:44:33.694,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 09:30:40.444,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 09:31:07.408,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 09:35:58.770,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 10:20:07.981,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 10:20:40.409,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 10:23:56.817,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 11:08:58.150,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 11:09:11.806,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 11:15:58.811,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 12:44:25.413,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 12:44:38.377,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2022-02-05 12:53:10.538,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
